convoID,ambientVariant,processedVolume,technology,model,bleu_score
30946765,talking,-25dBFS,whisper,large,88.63850960946718
30946765,talking,-30dBFS,whisper,large,88.8427661821001
30946765,talking,-35dBFS,whisper,large,85.58758506835056
30946765,trafficOutside,-15dBFS,whisper,large,81.45152734117582
30946765,trafficOutside,-20dBFS,whisper,large,85.16151151480396
30946765,trafficOutside,-25dBFS,whisper,large,83.6316292658993
30946765,trafficOutside,-30dBFS,whisper,large,82.02865168179294
30946765,trafficOutside,-35dBFS,whisper,large,85.25248593020888
31020403,insideAmbulance,-15dBFS,whisper,large,78.69590350864796
31020403,insideAmbulance,-20dBFS,whisper,large,84.52636237445292
31020403,insideAmbulance,-25dBFS,whisper,large,86.64816204703374
31020403,insideAmbulance,-30dBFS,whisper,large,78.40076909298963
31020403,insideAmbulance,-35dBFS,whisper,large,86.41544123894346
31020403,insideCrowded,-15dBFS,whisper,large,53.98779372530278
31020403,insideCrowded,-20dBFS,whisper,large,73.53691802910886
31020403,insideCrowded,-25dBFS,whisper,large,79.5726985345767
31020403,insideCrowded,-30dBFS,whisper,large,90.7472745164815
31020403,insideCrowded,-35dBFS,whisper,large,84.30165533034494
31020403,talking,-15dBFS,whisper,large,74.66405421785831
31020403,talking,-20dBFS,whisper,large,73.54902996093055
31020403,talking,-25dBFS,whisper,large,81.9540423799074
31020403,talking,-30dBFS,whisper,large,84.25988417907777
31020403,talking,-35dBFS,whisper,large,80.42014298587208
31020403,trafficOutside,-15dBFS,whisper,large,78.33786323213535
31020403,trafficOutside,-20dBFS,whisper,large,84.46467904483202
31020403,trafficOutside,-25dBFS,whisper,large,84.30465394026568
31020403,trafficOutside,-30dBFS,whisper,large,80.6767569557307
31020403,trafficOutside,-35dBFS,whisper,large,87.46507813005637
31151696,insideAmbulance,-15dBFS,whisper,large,78.27738446913072
31151696,insideAmbulance,-20dBFS,whisper,large,83.77933643073176
31151696,insideAmbulance,-25dBFS,whisper,large,91.5835535794033
31151696,insideAmbulance,-30dBFS,whisper,large,91.96326408220023
31151696,insideAmbulance,-35dBFS,whisper,large,78.51095662190298
31151696,insideCrowded,-15dBFS,whisper,large,52.625791455220785
31151696,insideCrowded,-20dBFS,whisper,large,77.39083905567348
31151696,insideCrowded,-25dBFS,whisper,large,89.9615879001565
31151696,insideCrowded,-30dBFS,whisper,large,90.34897886610521
31151696,insideCrowded,-35dBFS,whisper,large,91.77111118727127
31151696,talking,-15dBFS,whisper,large,82.3901438036484
31151696,talking,-20dBFS,whisper,large,91.1016263018965
31151696,talking,-25dBFS,whisper,large,90.45125037523921
31151696,talking,-30dBFS,whisper,large,88.2431430824931
31151696,talking,-35dBFS,whisper,large,86.67657307008199
31151696,trafficOutside,-15dBFS,whisper,large,83.45936670865541
31151696,trafficOutside,-20dBFS,whisper,large,90.76297633418183
31151696,trafficOutside,-25dBFS,whisper,large,83.46178286549458
31151696,trafficOutside,-30dBFS,whisper,large,91.62108165328708
31151696,trafficOutside,-35dBFS,whisper,large,83.28233508714466
31198145,insideAmbulance,-15dBFS,whisper,large,73.02149692089257
31198145,insideAmbulance,-20dBFS,whisper,large,82.64179814900375
31198145,insideAmbulance,-25dBFS,whisper,large,86.47427735957096
31198145,insideAmbulance,-30dBFS,whisper,large,93.01510075647
31198145,insideAmbulance,-35dBFS,whisper,large,89.14293404763643
31198145,insideCrowded,-15dBFS,whisper,large,64.50196300873876
31198145,insideCrowded,-20dBFS,whisper,large,81.08865376507273
31198145,insideCrowded,-25dBFS,whisper,large,84.25133673088978
31198145,insideCrowded,-30dBFS,whisper,large,92.13900194694156
31198145,insideCrowded,-35dBFS,whisper,large,83.76661388097706
31198145,talking,-15dBFS,whisper,large,79.55636668125031
31198145,talking,-20dBFS,whisper,large,88.76492026451591
31198145,talking,-25dBFS,whisper,large,85.26925045922884
31198145,talking,-30dBFS,whisper,large,89.9565441132965
31198145,talking,-35dBFS,whisper,large,91.60738808717872
31198145,trafficOutside,-15dBFS,whisper,large,81.02464146358155
31198145,trafficOutside,-20dBFS,whisper,large,88.82208574907757
31198145,trafficOutside,-25dBFS,whisper,large,78.54184957045038
31198145,trafficOutside,-30dBFS,whisper,large,87.12788029546392
31198145,trafficOutside,-35dBFS,whisper,large,87.1874705403651
31300500,insideAmbulance,-15dBFS,whisper,large,68.3272087110155
31300500,insideAmbulance,-20dBFS,whisper,large,78.99036652778449
31300500,insideAmbulance,-25dBFS,whisper,large,86.83971277244825
31300500,insideAmbulance,-30dBFS,whisper,large,84.47227237208074
31300500,insideAmbulance,-35dBFS,whisper,large,76.3285011592428
31300500,insideCrowded,-15dBFS,whisper,large,48.227814030632516
31300500,insideCrowded,-20dBFS,whisper,large,71.25727087820775
31300500,insideCrowded,-25dBFS,whisper,large,84.60881642090467
31300500,insideCrowded,-30dBFS,whisper,large,84.83819066786741
31300500,insideCrowded,-35dBFS,whisper,large,85.4762099005334
31300500,talking,-15dBFS,whisper,large,77.53156411653632
31300500,talking,-20dBFS,whisper,large,79.10470810744044
31300500,talking,-25dBFS,whisper,large,82.90176249525062
31300500,talking,-30dBFS,whisper,large,76.06206629148848
31300500,talking,-35dBFS,whisper,large,80.92168445330543
31300500,trafficOutside,-15dBFS,whisper,large,81.98669313497614
31300500,trafficOutside,-20dBFS,whisper,large,79.66458943430568
31300500,trafficOutside,-25dBFS,whisper,large,80.78780482366697
31300500,trafficOutside,-30dBFS,whisper,large,77.38239774359431
31300500,trafficOutside,-35dBFS,whisper,large,83.0980201176648
31303597,insideAmbulance,-15dBFS,whisper,large,77.99464481341917
31303597,insideAmbulance,-20dBFS,whisper,large,81.42046396869024
31303597,insideAmbulance,-25dBFS,whisper,large,86.11615822158733
31303597,insideAmbulance,-30dBFS,whisper,large,86.18653768320634
31303597,insideAmbulance,-35dBFS,whisper,large,77.55253372443848
31303597,insideCrowded,-15dBFS,whisper,large,51.17946340893215
31303597,insideCrowded,-20dBFS,whisper,large,76.9827571538359
31303597,insideCrowded,-25dBFS,whisper,large,76.401592098596
31303597,insideCrowded,-30dBFS,whisper,large,72.96422374904493
31303597,insideCrowded,-35dBFS,whisper,large,86.31409202609902
31303597,talking,-15dBFS,whisper,large,75.7644818440324
31303597,talking,-20dBFS,whisper,large,83.92004366643309
31303597,talking,-25dBFS,whisper,large,86.09530905161115
31303597,talking,-30dBFS,whisper,large,89.32130442970603
31303597,talking,-35dBFS,whisper,large,86.25255283657229
31303597,trafficOutside,-15dBFS,whisper,large,75.81110296896087
31303597,trafficOutside,-20dBFS,whisper,large,79.12964494229765
