convoID,ambientVariant,processedVolume,technology,model,lex_cosine_sim
30414683,talking,-25dBFS,whisper,large,0.8934110396898894
30414683,talking,-30dBFS,whisper,large,0.8233870817585838
30414683,talking,-35dBFS,whisper,large,0.8676632320392704
30414683,trafficOutside,-15dBFS,whisper,large,0.8609964921596491
30414683,trafficOutside,-20dBFS,whisper,large,0.5264045527236457
30414683,trafficOutside,-25dBFS,whisper,large,0.46069431116591947
30414683,trafficOutside,-30dBFS,whisper,large,0.44766935874260533
30414683,trafficOutside,-35dBFS,whisper,large,0.9530212973915347
30422892,insideAmbulance,-15dBFS,whisper,large,0.8189423282869223
30422892,insideAmbulance,-20dBFS,whisper,large,0.8740491745793998
30422892,insideAmbulance,-25dBFS,whisper,large,0.9416257678013543
30422892,insideAmbulance,-30dBFS,whisper,large,0.9738222727860458
30422892,insideAmbulance,-35dBFS,whisper,large,0.9725528754674505
30422892,insideCrowded,-15dBFS,whisper,large,0.4475157365917022
30422892,insideCrowded,-20dBFS,whisper,large,0.8927182076710922
30422892,insideCrowded,-25dBFS,whisper,large,0.962582608474642
30422892,insideCrowded,-30dBFS,whisper,large,0.9815988700502009
30422892,insideCrowded,-35dBFS,whisper,large,0.9755306197286726
30422892,talking,-15dBFS,whisper,large,0.8970928364506818
30422892,talking,-20dBFS,whisper,large,0.9131983349190578
30422892,talking,-25dBFS,whisper,large,0.9622604708824191
30422892,talking,-30dBFS,whisper,large,0.9791352309942692
30422892,talking,-35dBFS,whisper,large,0.9768912605725153
30422892,trafficOutside,-15dBFS,whisper,large,0.9400396837744787
30422892,trafficOutside,-20dBFS,whisper,large,0.9508153306441018
30422892,trafficOutside,-25dBFS,whisper,large,0.9714520368593956
30422892,trafficOutside,-30dBFS,whisper,large,0.9506863516751086
30422892,trafficOutside,-35dBFS,whisper,large,0.9824362162315429
30476333,insideAmbulance,-15dBFS,whisper,large,0.10085306333098829
30476333,insideAmbulance,-20dBFS,whisper,large,0.09811068880626202
30476333,insideAmbulance,-25dBFS,whisper,large,0.1225997505820939
30476333,insideAmbulance,-30dBFS,whisper,large,0.09203106566258634
30476333,insideAmbulance,-35dBFS,whisper,large,0.09573323955180753
