convoID,ambientVariant,processedVolume,technology,model,wer
30238398,insideCrowded,-25dBFS,whisper,large,0.11853188929001203
30238398,insideCrowded,-30dBFS,whisper,large,0.12093862815884476
30238398,insideCrowded,-35dBFS,whisper,large,0.05354993983152828
30238398,talking,-15dBFS,whisper,large,0.13116726835138387
30238398,talking,-20dBFS,whisper,large,0.24007220216606498
30238398,talking,-25dBFS,whisper,large,0.15042117930204574
30238398,talking,-30dBFS,whisper,large,0.18832731648616124
30238398,talking,-35dBFS,whisper,large,0.12936221419975932
30238398,trafficOutside,-15dBFS,whisper,large,0.11432009626955475
30238398,trafficOutside,-20dBFS,whisper,large,0.22382671480144403
30238398,trafficOutside,-25dBFS,whisper,large,0.16064981949458484
30238398,trafficOutside,-30dBFS,whisper,large,0.09446450060168472
30238398,trafficOutside,-35dBFS,whisper,large,0.24247894103489773
30328724,insideAmbulance,-15dBFS,whisper,large,0.18004459308807136
30328724,insideAmbulance,-20dBFS,whisper,large,0.17725752508361203
30328724,insideAmbulance,-25dBFS,whisper,large,0.07023411371237458
30328724,insideAmbulance,-30dBFS,whisper,large,0.08361204013377926
30328724,insideAmbulance,-35dBFS,whisper,large,0.12040133779264214
30328724,insideCrowded,-15dBFS,whisper,large,0.4119286510590858
30328724,insideCrowded,-20dBFS,whisper,large,0.15942028985507245
30328724,insideCrowded,-25dBFS,whisper,large,0.1326644370122631
30328724,insideCrowded,-30dBFS,whisper,large,0.04124860646599777
30328724,insideCrowded,-35dBFS,whisper,large,0.1415830546265329
30328724,talking,-15dBFS,whisper,large,0.1778149386845039
30328724,talking,-20dBFS,whisper,large,0.16220735785953178
30328724,talking,-25dBFS,whisper,large,0.12151616499442586
30328724,talking,-30dBFS,whisper,large,0.08361204013377926
30328724,talking,-35dBFS,whisper,large,0.10535117056856187
30328724,trafficOutside,-15dBFS,whisper,large,0.1516164994425864
30328724,trafficOutside,-20dBFS,whisper,large,0.07525083612040134
30328724,trafficOutside,-25dBFS,whisper,large,0.10981047937569677
30328724,trafficOutside,-30dBFS,whisper,large,0.1343366778149387
30328724,trafficOutside,-35dBFS,whisper,large,0.08138238573021182
30394981,insideAmbulance,-15dBFS,whisper,large,0.20833333333333334
30394981,insideAmbulance,-20dBFS,whisper,large,0.16293532338308458
30394981,insideAmbulance,-25dBFS,whisper,large,0.04975124378109453
30394981,insideAmbulance,-30dBFS,whisper,large,0.24067164179104478
30394981,insideAmbulance,-35dBFS,whisper,large,0.0914179104477612
30394981,insideCrowded,-15dBFS,whisper,large,0.38619402985074625
30394981,insideCrowded,-20dBFS,whisper,large,0.09577114427860696
30394981,insideCrowded,-25dBFS,whisper,large,0.08084577114427861
30394981,insideCrowded,-30dBFS,whisper,large,0.1281094527363184
30394981,insideCrowded,-35dBFS,whisper,large,0.12002487562189054
30394981,talking,-15dBFS,whisper,large,0.10323383084577115
30394981,talking,-20dBFS,whisper,large,0.0945273631840796
30394981,talking,-25dBFS,whisper,large,0.07151741293532338
30394981,talking,-30dBFS,whisper,large,0.03980099502487562
30394981,talking,-35dBFS,whisper,large,0.14116915422885573
30394981,trafficOutside,-15dBFS,whisper,large,0.24191542288557213
30394981,trafficOutside,-20dBFS,whisper,large,0.07898009950248756
30394981,trafficOutside,-25dBFS,whisper,large,0.07462686567164178
30394981,trafficOutside,-30dBFS,whisper,large,0.11256218905472637
30394981,trafficOutside,-35dBFS,whisper,large,0.03731343283582089
30414683,insideAmbulance,-15dBFS,whisper,large,0.29404145077720206
30414683,insideAmbulance,-20dBFS,whisper,large,0.15803108808290156
30414683,insideAmbulance,-25dBFS,whisper,large,0.14313471502590674
30414683,insideAmbulance,-30dBFS,whisper,large,0.08743523316062177
30414683,insideAmbulance,-35dBFS,whisper,large,0.07966321243523317
30414683,insideCrowded,-15dBFS,whisper,large,0.4183937823834197
30414683,insideCrowded,-20dBFS,whisper,large,0.15738341968911918
30414683,insideCrowded,-25dBFS,whisper,large,0.15155440414507773
30414683,insideCrowded,-30dBFS,whisper,large,0.10686528497409327
30414683,insideCrowded,-35dBFS,whisper,large,0.12759067357512954
30414683,talking,-15dBFS,whisper,large,0.18976683937823835
30414683,talking,-20dBFS,whisper,large,0.2104922279792746
30414683,talking,-25dBFS,whisper,large,0.17033678756476683
30414683,talking,-30dBFS,whisper,large,0.12240932642487047
30414683,talking,-35dBFS,whisper,large,0.12694300518134716
30414683,trafficOutside,-15dBFS,whisper,large,0.2260362694300518
30414683,trafficOutside,-20dBFS,whisper,large,0.15544041450777202
30414683,trafficOutside,-25dBFS,whisper,large,0.13795336787564766
30414683,trafficOutside,-30dBFS,whisper,large,0.14183937823834197
30414683,trafficOutside,-35dBFS,whisper,large,0.13212435233160622
30422892,insideAmbulance,-15dBFS,whisper,large,0.1383714741883981
30422892,insideAmbulance,-20dBFS,whisper,large,0.1309207025013305
30422892,insideAmbulance,-25dBFS,whisper,large,0.08994145822245875
30422892,insideAmbulance,-30dBFS,whisper,large,0.08781266631186802
30422892,insideAmbulance,-35dBFS,whisper,large,0.08621607237892497
